G_64_4
,123704,100000,0.7868,1292,0.753476,0.0333239
G_64_5
,42062,100000,0.368908,1313,0.357718,0.0111892
G_64_6
,117913,100000,0.516606,3015,0.498918,0.0176878
G_64_9
,30601,100000,0.663829,2177,0.654335,0.00949386
G_64_11
,22070818,100000,3.86709,1046,0.470032,3.39705
G_64_13
,11428,100000,0.346995,1136,0.339743,0.00725174
G_64_14
,17520,100000,0.589785,1978,0.581051,0.00873396
G_64_15
,94023,100000,0.604293,2650,0.583598,0.0206954
G_64_16
,360094,100000,0.455336,1123,0.388374,0.0669614
G_64_17
,164460,100000,0.53737,1127,0.515619,0.0217502
G_64_19
,2563800,100000,1.00465,1816,0.485842,0.518811
G_64_20
,38139,100000,0.509907,2779,0.499419,0.0104889
G_64_21
,488603,100000,0.608689,1532,0.553963,0.054726
G_64_22
,100507,100000,0.503311,1093,0.487902,0.0154091
G_64_23
,46826,100000,0.796734,1318,0.77944,0.017294
G_64_24
,19439,100000,0.76134,1226,0.744776,0.0165648
G_64_26
,12851,100000,0.632353,1392,0.623112,0.0092402
G_64_27
,5772890,100000,1.66481,1655,0.634415,1.0304
G_64_28
,38084,100000,0.590363,1071,0.578697,0.0116666
G_64_29
,33226,100000,0.588437,2038,0.578964,0.00947352
G_64_30
,18475,100000,0.441676,2414,0.432587,0.00908883
G_64_32
,30400,100000,0.515933,2056,0.506956,0.00897724
G_64_33
,31036,100000,0.627256,1611,0.615661,0.0115955
G_64_34
,22707,100000,0.495856,1483,0.487143,0.00871255
G_64_36
,24171,100000,0.722354,3872,0.713692,0.00866135
G_64_37
,50341,100000,0.532046,768,0.518446,0.0136003
G_64_38
,58028,100000,0.202945,90,0.189645,0.0132998
G_64_39
,43757,100000,0.199346,157,0.174157,0.0251895
G_64_40
,1139232585,100000,161.777,1928,0.615509,161.162
G_64_41
,36269,100000,0.404308,1677,0.393557,0.0107512
G_64_42
,66196,100000,0.497608,2631,0.484746,0.0128625
G_64_43
