G_96_6
,48373,100000,0.328174,198,0.312478,0.0156957
G_96_7
,54461,100000,3.12122,5317,3.10899,0.0122331
G_96_11
,94379,100000,1.02353,1186,1.00532,0.0182049
G_96_12
,203696,100000,0.677198,1930,0.652092,0.0251054
G_96_15
,33630,100000,0.810608,3233,0.801184,0.00942383
G_96_16
,10060,100000,0.833328,1434,0.825796,0.00753149
G_96_17
,28490,100000,0.916591,6171,0.906449,0.0101422
G_96_24
,1496,256,0.239091,107,0.238792,0.000298874
G_96_28
,49112,100000,0.443574,576,0.43238,0.0111936
G_96_30
,38709,100000,0.626043,1330,0.616289,0.00975388
G_96_33
,209815,100000,0.870547,3406,0.841847,0.0286999
G_96_34
,182398,100000,0.81078,2927,0.787388,0.0233924
G_96_38
,89907,100000,0.832071,3269,0.817775,0.0142957
G_96_42
,51970,100000,0.817077,3266,0.806046,0.0110311
G_96_44
,30994,100000,0.966548,3724,0.956902,0.00964608
G_96_50
,23455,100000,0.639985,1900,0.631068,0.00891715
G_96_58
,1922884,100000,1.40384,3313,0.973569,0.430275
G_96_59
,13895,100000,0.96614,732,0.957744,0.00839582
G_96_64
,30881,100000,0.767486,2997,0.758283,0.00920284
G_96_65
,14727,100000,0.810439,1212,0.801097,0.00934249
G_96_70
,124029,100000,0.786286,1158,0.768389,0.0178966
G_96_78
,367032,100000,0.300157,307,0.254519,0.0456377
G_96_89
,44665,100000,0.433338,306,0.422499,0.0108388
G_96_91
,106502,100000,0.771383,1967,0.753511,0.017872
G_96_94
,1069,384,0.54372,108,0.543432,0.000287446
G_96_95
,189176,100000,0.788423,1558,0.755428,0.0329953
G_96_96
,127549,100000,0.696337,2937,0.678665,0.0176717
G_96_101
,38075,100000,0.797792,3841,0.787767,0.0100254
G_96_102
,1297177586,100000,247.309,5044,0.957102,246.352
G_96_103
,24512727,100000,4.34663,3132,0.660338,3.68629
G_96_106
,375691,100000,0.89138,1133,0.831428,0.059952
G_96_107
,1829111614,100000,259.963,4181,0.764335,259.199
G_96_109
,55315,100000,0.247042,151,0.23576,0.0112821
G_96_119
,36155,100000,0.84767,2940,0.836904,0.0107661
G_96_124
,25819,100000,0.921774,2136,0.912814,0.00895979
G_96_126
,16160685,320,3.37376,982,0.668868,2.70489
G_96_127
,13140505,100000,3.60551,2421,0.973227,2.63228
G_96_138
,98440,100000,0.827589,2022,0.812531,0.0150577
G_96_144
,179786,100000,0.890952,2929,0.866552,0.0244004
G_96_145
,24098,100000,0.889975,3243,0.881353,0.00862187
G_96_148
,1573963,100000,1.20729,2539,0.867522,0.339764
G_96_152
,78228,100000,0.640052,162,0.566946,0.0731062
G_96_153
,40968,100000,0.737793,3980,0.726612,0.0111806
G_96_156
