G_32_1
,15317,100000,0.347332,1341,0.339121,0.0082113
G_32_2
,28230,100000,0.372764,1647,0.35797,0.0147937
G_32_3
,19541,100000,0.305178,1192,0.294525,0.0106534
G_32_4
,38382,100000,0.26284,1023,0.251969,0.0108711
G_32_5
,188699205,100000,32.6455,1072,0.219743,32.4258
G_32_6
,24778,100000,0.328419,2895,0.318446,0.00997305
G_32_7
,10528,100000,0.378983,1463,0.370373,0.00860994
G_32_8
,17416,100000,0.410567,929,0.400905,0.00966211
G_32_9
,326549,100000,0.348101,845,0.298757,0.0493437
G_32_10
,30623,100000,0.242047,800,0.229869,0.0121778
G_32_12
,238384,100000,0.327501,2588,0.295879,0.0316227
G_32_13
,460950,100000,0.355201,1458,0.28743,0.067771
G_32_14
,27015,100000,0.317962,1520,0.306161,0.0118012
G_32_15
,84508,100000,0.328765,3659,0.308754,0.0200112
G_32_16
,212315,100000,0.4341,1557,0.398575,0.0355253
G_32_17
,16446,100000,0.293468,621,0.283381,0.0100872
G_32_18
,32786,100000,0.361908,2679,0.348703,0.0132053
G_32_19
,52542,100000,0.369326,5818,0.357828,0.0114986
G_32_20
,47825,100000,0.645151,628,0.617101,0.02805
G_32_21
,95425,100000,0.345561,1734,0.319817,0.0257439
G_32_22
,15205,100000,0.405346,1111,0.395727,0.00961893
G_32_23
,17205,100000,0.553406,1411,0.544082,0.00932369
G_32_24
,93347,100000,0.340567,1202,0.323826,0.016741
G_32_25
,8374,100000,0.284475,1746,0.276686,0.00778908
G_32_26
,86693,100000,0.537104,2007,0.506075,0.0310284
G_32_27
,171844,100000,0.669265,4510,0.611007,0.0582576
G_32_28
,16748,100000,0.306992,656,0.29533,0.0116629
G_32_30
,123461,100000,0.295237,2321,0.276311,0.0189259
G_32_31
,25853,100000,0.290608,1011,0.279587,0.0110208
G_32_32
,48679,100000,0.337432,4597,0.32535,0.0120819
G_32_33
,12571,100000,0.329022,1864,0.319662,0.00936044
G_32_34
,37637,100000,0.294878,1062,0.281085,0.0137928
G_32_35
,245319,100000,0.314108,3519,0.279237,0.0348704
G_32_36
,325314,100000,0.361885,1423,0.314652,0.0472323
G_32_37
,23364,100000,0.336277,2155,0.326497,0.00978062
G_32_38
,11320,100000,0.33463,756,0.32524,0.00939034
G_32_39
,15615,100000,0.255946,1184,0.247555,0.00839047
G_32_40
,8334,100000,0.214761,747,0.20729,0.00747187
G_32_41
,17918,100000,0.355236,1889,0.34557,0.00966628
G_32_42
,138718,100000,0.371909,2201,0.348633,0.0232762
G_32_43
,14521,100000,0.453734,767,0.439347,0.0143872
G_32_44
,169948,100000,0.306143,2542,0.277363,0.0287805
G_32_45
,242814,100000,0.249947,1387,0.21131,0.038637
G_32_46
,150495,100000,0.358372,3012,0.333976,0.0243957
G_32_47
,30602,100000,0.296142,1995,0.282138,0.0140045
G_32_49
,15506,100000,0.272355,917,0.260526,0.0118294
G_32_50
,75328,100000,0.288787,2411,0.27504,0.0137477
G_32_51
,10031,100000,0.300265,1582,0.290506,0.00975856
G_32_52
,23278,100000,0.537028,1931,0.527531,0.00949752
G_32_53
,58363,100000,0.237055,1965,0.224555,0.0125004
G_32_54
,36942,100000,0.392213,932,0.380772,0.0114407
G_32_55
,17470,100000,0.234115,349,0.224115,0.0099996
G_32_56
,36038,100000,0.187148,988,0.175786,0.0113619
G_32_57
,20140,100000,0.314764,1845,0.302151,0.0126127
G_32_58
,261794,100000,0.418385,6769,0.384734,0.0336506
G_32_59
,58211,100000,0.255625,1123,0.240856,0.0147693
G_32_60
,19913,100000,0.386557,1378,0.374235,0.0123219
G_32_61
,10019,100000,0.26856,586,0.257188,0.0113717
G_32_62
,675088,100000,0.474976,619,0.377434,0.0975422
G_32_63
,263548,100000,0.318529,1420,0.277649,0.0408803
G_32_64
,8251,100000,0.267798,562,0.259811,0.00798755
G_32_65
,19772,100000,0.293151,1331,0.282393,0.0107574
G_32_67
,9296,100000,0.361345,848,0.352527,0.00881855
G_32_68
,998585,100000,0.390481,1062,0.271274,0.119207
G_32_69
,72519,100000,0.303427,1683,0.290237,0.0131904
G_32_70
,19892,100000,0.337726,1153,0.329153,0.00857252
G_32_71
,45419,100000,0.442599,1158,0.427553,0.0150457
G_32_72
,211079,100000,0.294234,1988,0.26449,0.0297441
G_32_73
,118038,100000,0.350109,1948,0.329098,0.0210112
G_32_74
,30064,100000,0.223082,544,0.213057,0.010025
G_32_75
,25421,100000,0.277775,827,0.264396,0.013379
G_32_76
,19958,100000,0.303834,1092,0.290389,0.0134447
G_32_77
,31328,100000,0.219116,1863,0.207786,0.0113297
G_32_78
,11595,100000,0.18752,632,0.179491,0.00802886
G_32_79
,11460,100000,0.264062,2362,0.255866,0.00819633
G_32_80
,44327,100000,0.2714,2383,0.259947,0.0114526
G_32_81
,45956,100000,0.323298,533,0.307212,0.0160859
G_32_82
,39,12,0.158401,40,0.158361,4.0215e-05
G_32_83
,27452,100000,0.210243,1012,0.200665,0.00957861
G_32_84
,19502,100000,0.287421,1282,0.278002,0.00941903
G_32_85
,8703,100000,0.209288,406,0.200931,0.00835716
G_32_86
,10436,100000,0.243688,901,0.235856,0.00783236
G_32_87
,55325,100000,0.353072,1530,0.341459,0.0116137
